Codigo;Nombre;Lista 1;Lista 2;Lista 3;Lista 4;Costo;Proveedor;Rubro;Subrubro;Cod. Barra
1102;FRACCIONADO CHUP BOLA LOCA RIVER;1450;;;;;VARIOS;GOLOSINAS;GOLOSINAS;45
1103;FRACCIONADO CHUP CEBOLLITA;800;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11111
1104;FRACCIONADO CHUP MARENGO;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11114
1105;FRACCIONADO CHUP PELOTITAS;900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11157
77995208;FRACCIONADO CHUP TERROR;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779952081
77995034;FRACCIONADO CHUPETIN BOLA LOCA;1700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779950346
77995049;FRACCIONADO CHUPETIN COSMO MEGA ;1750;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779950490
714604646;FRACCIONADO COSMO FRUTAL ;1900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7146046466
1106;FRACCIONADO CUP DULCE DE LECHE;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11134
1107;FRACCIONADO DROPSI;1200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11174
77995196;FRACCIONADO FISH;1500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779951961
1108;FRACCIONADO KROOMY;1700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11182
1109;FRACCIONADO KRROMY Y BABY DOLL;1700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11177
77995144;FRACCIONADO MAST BULL DOG;1200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779951442
77995209;FRACCIONADO MAST TERROR ;1000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779952098
3156;FRACCIONADO MASTICABLE BIT ;1700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;31561
77995048;FRACCIONADO MASTICABLE FIERITA ;900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779950483
1110;FRACCIONADO MASTICABLE LHERITIER;900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11161
1111;FRACCIONADO MASTICABLE MISKY;1500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;21
1112;FRACCIONADO MASTICABLE PICO DULCE;1200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11156
1113;FRACCIONADO MASTICABLE PICO DULCE;1200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11158
77995050;FRACCIONADO MASTICABLE TOFFI;1250;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779950506
1114;FRACCIONADO MENTA DURO MARENGO;1350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11113
1115;FRACCIONADO MENTA LHERITHIER;1200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;46
3159;FRACCIONADO MISKY RELLENO ;1300;;;;;VARIOS;GOLOSINAS;GOLOSINAS;31592
77995198;FRACCIONADO MONEDAS DE CHOC;1800;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779951985
77995220;FRACCIONADO OJITOS TERROR;1700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779952203
1116;FRACCIONADO PALETA PITY;600;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11169
1117;FRACCIONADO PICO DULCE X10;2400;;;;;VARIOS;GOLOSINAS;GOLOSINAS;11181
3154;FRACCIONADO PITO PITO ;1700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;31547
77995221;FRACCIONADO POKEBOLA ;2000;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779952210
77995219;FRACCIONADO RODAJAS TERROR;1100;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779952197
77995137;FRACCIONADO SUPER TATOO;2500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779951374
714604645;FRACCIONADO TAPONAZO;800;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7146046459
77995190;FRUTAS 3D;7200;;;;;VARIOS;GOLOSINAS;GOLOSINAS;6934957808546
77995192;FRUTAS 3D XU;250;;;;;VARIOS;GOLOSINAS;GOLOSINAS;779951923
1118;GALATINA P/PREPARAR FRUTILLA;50;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791113001178
1119;GALLETA 9 DE ORO AGRIDULCE;34;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7792200000128
1120;GALLETA 9 DE ORO AZUCARADO;34;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7792200000319
1121;GALLETA 9 DE ORO LIGHT;34;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7792200000777
1122;GALLETA 9 DE ORO SALADO;34;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7792200000159
1123;GALLETA AIRE DE LUJAN AVENA Y CHIPS;600;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798094223070
1124;GALLETA AIRE DE LUJAN CHOCOLATE;600;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798094223179
1125;GALLETA AIRE DE LUJAN MERENDINA;280;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798094223285
1126;GALLETA AIRE DE LUJAN MERENDINA;280;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798094220840
1127;GALLETA AIRE DE LUJAN PEPAS;600;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798094222769
1128;GALLETA AIRES DE LUJAN AVENA Y PASAS;800;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798094223087
1129;GALLETA AIRES DE LUJAN MANTECA;650;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798094223186
1130;GALLETA AMOR BAGLEY;1500;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040143531
77995058;GALLETA ARGENTITAS X3;750;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798113151308
1131;GALLETA BAGLEY CEREALES CON SALVADO;3600;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040136243
1132;GALLETA BAGLEY SALVADO 642 GRMS TRIPACK;190;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040129535
1133;GALLETA BENJAMIN  PEPA BENJA 160;450;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790907000885
1134;GALLETA BENJAMIN ANILLOS 160;390;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790907000038
1135;GALLETA BENJAMIN AZUCARADAS;690;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790907005347
1136;GALLETA BENJAMIN NANKIN 160;390;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790907000823
1137;GALLETA BENJAMIN NAOMI 160;390;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790907000847
1138;GALLETA BENJAMIN PEPA 200;540;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790907000694
1139;GALLETA BENJAMIN YABILA 160;390;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790907000830
77995038;GALLETA BONANZA X3;1100;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798141972401
77995139;GALLETA BONANZA X5;1650;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798141972418
1140;GALLETA CARICIA ANILLOS 200G;85;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798010260318
1141;GALLETA CEREAL MIX AVENA Y PASAS X180GR;70;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040713703
1142;GALLETA CEREAL MIX MANZANA X 180GRMS;70;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040714205
1143;GALLETA CHIPS AVENA Y MIEL;16;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798125810835
1144;GALLETA CHIPS CHOCO;16;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798125810545
1145;GALLETA CHIPS CHOCOLATE;15;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798125810408
